entity_id,name,domain,stress_score,logistic_score,viability_score
ncbi_gene_4345339,AGPS2,biology,0.24304956012372578,0.7203980631796767,0.48172382
commodity_rice,Rice,biology,0.32482190419136237,0.5873357794991299,0.45607883
ncbi_gene_829437,CBL10,biology,0.08686068983048605,1.0,0.5434303
ncbi_gene_832494,SOS3,biology,0.2789934458637349,0.665587703782956,0.47229058
ncbi_gene_832773,NHX1,biology,0.17369957371982817,0.8450056725745543,0.5093526
ncbi_gene_823706,MPK3,biology,0.24639281573730823,0.7160188561061768,0.48120585
ncbi_gene_822318,TCP20,biology,0.11154719605138454,1.0,0.5557736
ncbi_gene_828651,CBF2,biology,0.11050176814652302,1.0,0.5552509
ncbi_gene_828781,ATS1,biology,0.10269186769032222,1.0,0.55134594
ncbi_gene_843890,BBX21,biology,0.2918772970465735,0.665587703782956,0.4787325
ncbi_gene_834623,DOG1,biology,0.44532623689573264,0.5177720783206161,0.48154914
ncbi_gene_837363,ALMT1,biology,0.07011280845098783,1.0,0.5350564
ncbi_gene_837113,STO,biology,0.07275461517823227,1.0,0.5363773
ncbi_gene_63873,Trpv4,biology,0.0845968759639253,1.0,0.54229844
ncbi_gene_814729,SOS1,biology,0.17369957371982817,0.8450056725745543,0.5093526
ncbi_gene_820667,NCED3,biology,0.48659576746223426,0.4744376571215299,0.48051673
ncbi_gene_819674,GID1A,biology,0.0750151316461948,1.0,0.5375076
go_cc_go_0010367,extracellular isoamylase complex,biology,0.2617838985482835,0.665587703782956,0.4636858
go_cc_go_0010368,chloroplast isoamylase complex,biology,0.2918772970465735,0.665587703782956,0.4787325
inat_76755,Echinochloa colona,biology,0.20138666168766395,0.7490521749790497,0.47521943
inat_64177,Leersia oryzoides,biology,0.25520542394911006,0.6821237850071453,0.46866462
inat_907615,Tetraneura akinire,biology,0.3263706681218465,0.5873357794991299,0.4568532
eco_int_pyricularia_oryzae_oryza_sativa,Pyricularia oryzae pathogen Oryza sativa,biology,0.2035207563611482,0.7490521749790497,0.47628647
eco_int_mycorrhiza_oryza_sativa,Mycorrhiza mutualism Oryza sativa,biology,0.2562423787946603,0.6821237850071453,0.4691831
inat_372170,Tetrapanax papyrifer,biology,0.332645257948718,0.5873357794991299,0.45999053
inat_499399,Pseudoxya diminuta,biology,0.15251857503909394,0.8450056725745543,0.49876213
inat_52045,Cnaphalocrocis medinalis,biology,0.1005276084665824,1.0,0.5502638
inat_323889,Pimelea humilis,biology,0.08012925773965571,1.0,0.54006463
inat_295792,Oebalus pugnax,biology,0.10312986051953553,1.0,0.55156493
ncbi_gene_4351866,LOC4351866,biology,0.17369957371982817,0.8450056725745544,0.5093526
ncbi_gene_4351604,LOC4351604,biology,0.15211220372157386,0.8450056725745544,0.49855894
ncbi_gene_4351573,LOC4351573,biology,0.32482190419136237,0.5873357794991299,0.45607883
ncbi_gene_4351482,LOC4351482,biology,0.4774869948981418,0.48242030072658915,0.47995365
ncbi_gene_4351420,LOC4351420,biology,0.19271409283553775,0.7591451186699585,0.47592962
ncbi_gene_4351370,NAC077,biology,0.1948468047403783,0.7591451186699585,0.47699597
ncbi_gene_4351362,LOC4351362,biology,0.17707444750669168,0.8450056725745544,0.51104003
ncbi_gene_4351307,LOC4351307,biology,0.2877901425632473,0.665587703782956,0.47668892
ncbi_gene_4351234,LOC4351234,biology,0.10572884946352999,1.0,0.55286443
ncbi_gene_4351224,LOC4351224,biology,0.0778726638692255,1.0,0.5389363
ncbi_gene_4351127,LOC4351127,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4351103,LOC4351103,biology,0.15211220372157386,0.8450056725745544,0.49855894
ncbi_gene_4350711,LOC4350711,biology,0.3983436983594335,0.5381142147559843,0.46822897
ncbi_gene_4350692,LOC4350692,biology,0.20352075636114816,0.7490521749790499,0.47628647
ncbi_gene_4350610,LOC4350610,biology,0.24573632088937766,0.7160188561061768,0.48087758
ncbi_gene_4350572,LOC4350572,biology,0.09797701420917931,1.0,0.5489885
ncbi_gene_4350502,LOC4350502,biology,0.11383108266179794,0.9305933899636227,0.5222122
ncbi_gene_4350273,LOC4350273,biology,0.11383108266179794,0.9305933899636227,0.5222122
ncbi_gene_4350255,LOC4350255,biology,0.1250819602965454,0.8528322378684483,0.4889571
ncbi_gene_4350216,LOC4350216,biology,0.2463928157373082,0.7160188561061768,0.48120585
ncbi_gene_4350197,LOC4350197,biology,0.16251924125153178,0.8450056725745544,0.5037625
ncbi_gene_4350133,LOC4350133,biology,0.2445450233053738,0.7160188561061768,0.48028195
ncbi_gene_4351670,PHT4;7,biology,0.07018599949615517,1.0,0.535093
ncbi_gene_4351887,LOC4351887,biology,0.30073260605196556,0.659501573835048,0.48011708
ncbi_gene_4351904,LOC4351904,biology,0.09077702114762826,1.0,0.5453885
ncbi_gene_4352833,LOC4352833,biology,0.1257305774881342,0.8450056725745544,0.48536813
ncbi_gene_4352832,LOC4352832,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4352783,LOC4352783,biology,0.21740504043255146,0.7443196268161365,0.48086232
ncbi_gene_4352778,LOC4352778,biology,0.35270747799267627,0.5856845697415353,0.46919602
ncbi_gene_4352660,LOC4352660,biology,0.1948468047403783,0.7591451186699585,0.47699597
ncbi_gene_4352653,LOC4352653,biology,0.43126736207827737,0.5327587224518097,0.48201305
ncbi_gene_4352640,LOC4352640,biology,0.1948468047403783,0.7591451186699585,0.47699597
ncbi_gene_4352615,LOC4352615,biology,0.07673865120260347,1.0,0.5383693
ncbi_gene_4352575,LOC4352575,biology,0.09011098231383409,1.0,0.5450555
ncbi_gene_4352566,LOC4352566,biology,0.3658621792146281,0.5856845697415353,0.4757734
ncbi_gene_4352516,LOC4352516,biology,0.24304956012372575,0.7203980631796767,0.48172382
ncbi_gene_4352491,LOC4352491,biology,0.4326405579528483,0.5327587224518097,0.48269963
ncbi_gene_4352470,LOC4352470,biology,0.11462598415467366,0.9236149246656711,0.51912045
ncbi_gene_4352248,LOC4352248,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4352186,LOC4352186,biology,0.46428451148576094,0.4981659992160021,0.48122525
ncbi_gene_4352160,LOC4352160,biology,0.15612750197743971,0.8450056725745544,0.5005666
ncbi_gene_4352083,LOC4352083,biology,0.13728285817187866,0.8450056725745544,0.49114427
ncbi_gene_4352014,RBCS1,biology,0.07275461517823227,1.0,0.5363773
ncbi_gene_4351998,MAGO2,biology,0.29187729704657345,0.665587703782956,0.4787325
ncbi_gene_4351983,LOC4351983,biology,0.28029804326345953,0.665587703782956,0.4729429
ncbi_gene_4351966,LOC4351966,biology,0.1848724029179695,0.8114492670591358,0.49816084
ncbi_gene_4350112,LOC4350112,biology,0.41104326289153925,0.536371057853579,0.47370717
ncbi_gene_4350083,LOC4350083,biology,0.22640564886465825,0.7389569565345504,0.4826813
ncbi_gene_4350055,LOC4350055,biology,0.1126142735984762,0.984733317232122,0.5486738
ncbi_gene_4350002,LOC4350002,biology,0.09077702114762826,1.0,0.5453885
ncbi_gene_4349237,LOC4349237,biology,0.20864186163645945,0.7443196268161365,0.47648075
ncbi_gene_4349236,LOC4349236,biology,0.11154719605138454,1.0,0.5557736
ncbi_gene_4349225,LOC4349225,biology,0.30073260605196556,0.659501573835048,0.48011708
ncbi_gene_4349102,DTE1,biology,0.43973871889505206,0.5299664711356599,0.48485258
ncbi_gene_4348988,LOC4348988,biology,0.28125437477835485,0.665587703782956,0.47342104
ncbi_gene_4348981,LOC4348981,biology,0.3970068517285304,0.5381142147559843,0.46756053
ncbi_gene_4348929,LOC4348929,biology,0.08075907444164968,1.0,0.5403795
ncbi_gene_4348869,LOC4348869,biology,0.4021223890108855,0.5381142147559843,0.47011828
ncbi_gene_4348823,wsl3,biology,0.17522944259808124,0.8450056725745544,0.51011753
ncbi_gene_4348741,LOC4348741,biology,0.10269186769032222,1.0,0.55134594
ncbi_gene_4348740,LOC4348740,biology,0.08459687596392527,1.0,0.54229844
ncbi_gene_4348736,LOC4348736,biology,0.4346850472330488,0.5327587224518097,0.48372188
ncbi_gene_4348695,LOC4348695,biology,0.09205804518558339,1.0,0.54602903
ncbi_gene_4348694,LOC4348694,biology,0.1363875710641438,0.8450056725745544,0.4906966
ncbi_gene_4348647,LOC4348647,biology,0.0801292577396557,1.0,0.54006463
ncbi_gene_4348646,LOC4348646,biology,0.10148385017322953,1.0,0.5507419
ncbi_gene_4348644,LOC4348644,biology,0.13575595734946955,0.8450056725745544,0.49038082
ncbi_gene_4348636,LOC4348636,biology,0.10269186769032222,1.0,0.55134594
ncbi_gene_4348632,LOC4348632,biology,0.19271409283553775,0.7591451186699585,0.47592962
ncbi_gene_4348631,LOC4348631,biology,0.07390517133903239,1.0,0.5369526
ncbi_gene_4348574,LOC4348574,biology,0.13575595734946955,0.8450056725745544,0.49038082
ncbi_gene_4349249,CPK23,biology,0.30197776698074785,0.659501573835048,0.48073965
ncbi_gene_4349264,LOC4349264,biology,0.11383108266179794,0.9305933899636227,0.5222122
ncbi_gene_4349293,LOC4349293,biology,0.27756232221389676,0.665587703782956,0.47157502
ncbi_gene_4349594,LOC4349594,biology,0.08490486158894492,1.0,0.54245245
ncbi_gene_4349969,PHT4;6,biology,0.0750151316461948,1.0,0.5375076
ncbi_gene_4349899,CPK24,biology,0.32482190419136237,0.5873357794991299,0.45607883
ncbi_gene_4349897,LOC4349897,biology,0.17522944259808124,0.8450056725745544,0.51011753
ncbi_gene_4349800,TGAL4,biology,0.26058587498948055,0.665587703782956,0.46308678
ncbi_gene_4349793,LOC4349793,biology,0.07847170848257466,1.0,0.53923583
ncbi_gene_4349749,LOC4349749,biology,0.3191823902682647,0.5918007376722234,0.45549157
ncbi_gene_4349739,LOC4349739,biology,0.13794059178629117,0.8450056725745544,0.49147314
ncbi_gene_4349705,LOC4349705,biology,0.2493695950794581,0.6859587270755693,0.46766415
ncbi_gene_4349704,LOC4349704,biology,0.0750151316461948,1.0,0.5375076
ncbi_gene_4349544,LOC4349544,biology,0.31399209783398346,0.6173363097025272,0.4656642
ncbi_gene_4349385,LOC4349385,biology,0.19769098928083348,0.7591451186699585,0.47841805
ncbi_gene_4349543,LOC4349543,biology,0.24180268905183236,0.7203980631796767,0.48110038
ncbi_gene_4349520,LOC4349520,biology,0.4518210725847937,0.49971686470123383,0.47576895
ncbi_gene_4349502,LOC4349502,biology,0.33382710722316866,0.5873357794991299,0.46058145
ncbi_gene_4349499,LOC4349499,biology,0.06914292791265714,1.0,0.53457147
ncbi_gene_4349484,LOC4349484,biology,0.32781019154069374,0.5873357794991299,0.457573
ncbi_gene_4349477,LOC4349477,biology,0.2445450233053738,0.7160188561061768,0.48028195
ncbi_gene_4349420,LOC4349420,biology,0.11105760926297217,1.0,0.5555288
ncbi_gene_4349411,LOC4349411,biology,0.07878370321839066,1.0,0.5393919
ncbi_gene_4349391,MYBS2,biology,0.1339493626702663,0.8450056725745544,0.48947752
ncbi_gene_4352839,LOC4352839,biology,0.41585174185487656,0.536371057853579,0.4761114
ncbi_gene_4352852,LOC4352852,biology,0.08459687596392527,1.0,0.54229844
ncbi_gene_4352871,LOC4352871,biology,0.08646470339889357,1.0,0.5432323
ncbi_gene_4352923,LOC4352923,biology,0.17111998454981758,0.8450056725745544,0.50806284
ncbi_gene_4352928,LOC4352928,biology,0.1293399070930052,0.8450056725745544,0.48717278
ncbi_gene_4348563,LOC4348563,biology,0.11583592661841509,0.9236149246656711,0.51972544
